"timestamp","latlng","odometer"
"1754543792","""49.972678,36.301253""","37911894"
"1754543361","""49.949600,36.384890""","37905347"
"1754544376","""49.992947,36.255598""","37916131"
"1754544061","""49.989742,36.265702""","37915134"
"1754544392","""49.993527,36.255878""","37916202"
"1754544003","""49.984900,36.275548""","37914244"
"1754544349","""49.992315,36.255320""","37916061"
"1754543319","""49.948002,36.383502""","37905148"
"1754543856","""49.975008,36.295270""","37912447"
"1754544398","""49.993708,36.255605""","37916232"
"1754543786","""49.972223,36.302575""","37911787"
"1754544170","""49.991852,36.257187""","37915914"
"1754543486","""49.955758,36.365668""","37906892"
"1754544106","""49.990945,36.262742""","37915393"
"1754543946","""49.983428,36.277970""","37914004"
"1754544171","""49.991852,36.257135""","37915917"
"1754544076","""49.989798,36.265593""","37915144"
"1754544150","""49.992625,36.258598""","37915780"
"1754543444","""49.953193,36.373778""","37906245"
"1754543662","""49.964450,36.330177""","37909628"
"1754543306","""49.947457,36.384625""","37905034"
"1754544181.011","""49.991908,36.257060""","null"
"1754544438","""49.993010,36.254942""","37916330"
"1754543638","""49.963340,36.336102""","37909186"
"1754544149","""49.992638,36.258672""","37915775"
"1754543519","""49.955957,36.364948""","37906949"
"1754544085","""49.990228,36.264907""","37915213"
"1754543558","""49.958702,36.357385""","37907573"
"1754543900","""49.978743,36.286827""","37913180"
"1754544146","""49.992597,36.258857""","37915760"
"1754543757","""49.969623,36.311145""","37911109"
"1754543469","""49.955127,36.367718""","37906729"
"1754543804","""49.973627,36.298642""","37912109"
"1754544168","""49.991878,36.257285""","37915906"
"1754543460","""49.954367,36.370068""","37906541"
"1754543694","""49.965193,36.326200""","37909924"
"1754543477","""49.955512,36.366413""","37906832"
"1754543464","""49.954693,36.369087""","37906620"
"1754543339","""49.949208,36.384612""","37905304"
"1754544092","""49.990637,36.264165""","37915283"
"1754544345","""49.992248,36.255418""","37916050"
"1754543998","""49.984718,36.275832""","37914215"
"1754544015","""49.985940,36.273878""","37914410"
"1754544020","""49.986567,36.272848""","37914511"
"1754543669","""49.964658,36.329097""","37909708"
"1754543388","""49.951330,36.379768""","37905769"
"1754544337","""49.992090,36.256310""","37915983"
"1754543888","""49.977557,36.289570""","37912944"
"1754544081","""49.990005,36.265288""","37915176"
"1754543522","""49.956112,36.364482""","37906986"
"1754544036","""49.988000,36.269138""","37914821"
"1754543398","""49.951908,36.377923""","37905916"
"1754528692","""49.946588,36.392490""","37904255"
"1754532292","""49.946588,36.392490""","37904255"
"1754543247","""49.944997,36.391762""","37904452"
"1754544358","""49.992722,36.255517""","37916106"
"1754543876","""49.976497,36.291893""","37912740"
"1754543679","""49.964770,36.328495""","37909753"
"1754544396","""49.993655,36.255773""","37916219"
"1754543378","""49.950468,36.382460""","37905554"
"1754543384","""49.950913,36.381030""","37905668"
"1754543608","""49.961737,36.344508""","37908559"
"1754543912","""49.979822,36.284413""","37913391"
"1754543936","""49.982672,36.279143""","37913886"
"1754544064","""49.989772,36.265650""","37915137"
"1754543735","""49.967437,36.317975""","37910564"
"1754543552","""49.958045,36.358542""","37907462"
"1754543455","""49.953942,36.371390""","37906435"
"1754543893","""49.978090,36.288348""","37913050"
"1754544348","""49.992292,36.255323""","37916058"
"1754543249","""49.945038,36.391645""","37904463"
"1754543562","""49.959240,36.356272""","37907672"
"1754544391","""49.993500,36.255870""","37916199"
"1754543574","""49.959993,36.353355""","37907897"
"1754543264","""49.945423,36.390753""","37904541"
"1754543869","""49.976108,36.292742""","37912666"
"1754543818","""49.974520,36.296532""","37912289"
"1754543927","""49.981593,36.280877""","37913713"
"1754543590","""49.960867,36.349392""","37908197"
"1754543848","""49.974620,36.296338""","37912359"
"1754543685","""49.964900,36.327705""","37909811"
"1754543777","""49.971430,36.305045""","37911590"
"1754543948","""49.983460,36.277923""","37914008"
"1754543665","""49.964572,36.329567""","37909673"
"1754543480","""49.955633,36.366038""","37906862"
"1754543649","""49.963860,36.333153""","37909405"
"1754544351","""49.992392,36.255347""","37916069"
"1754543529","""49.956538,36.363213""","37907089"
"1754544061.011","""49.989758,36.265673""","null"
"1754514292","""49.946588,36.392490""","37904255"
"1754542972","""49.946588,36.392490""","37904255"
"1754543625","""49.962588,36.340023""","37908894"
"1754544119","""49.990892,36.261223""","37915502"
"1754544246","""49.991907,36.257060""","37915923"
"1754543942","""49.983227,36.278258""","37913974"
"1754543369","""49.949948,36.384097""","37905424"
"1754543976","""49.984097,36.276785""","37914118"
"1754543841","""49.974680,36.296625""","37912332"
"1754543837","""49.974607,36.296508""","37912301"
"1754543374","""49.950208,36.383307""","37905487"
"1754543882","""49.976947,36.290812""","37912832"
"1754544099","""49.990880,36.263435""","37915343"
"1754543866","""49.975905,36.293220""","37912625"
"1754543853","""49.974833,36.295782""","37912406"
"1754543488","""49.955758,36.365630""","37906892"
"1754544122","""49.990970,36.261045""","37915519"
"1754543259","""49.945310,36.391103""","37904513"
"1754543516","""49.955848,36.365263""","37906923"
"1754543644","""49.963607,36.334658""","37909294"
"1754543512","""49.955762,36.365560""","37906900"
"1754543762","""49.970117,36.309610""","37911232"
"1754543218","""49.946257,36.392870""","37904284"
"1754543907","""49.979365,36.285587""","37913293"
"1754543578","""49.960228,36.352343""","37907974"
"1754544399","""49.993702,36.255505""","37916239"
"1754544148","""49.992652,36.258730""","37915771"
"1754543620","""49.962302,36.341565""","37908779"
"1754543846","""49.974588,36.296543""","37912344"
"1754543280","""49.946132,36.388633""","37904712"
"1754543820","""49.974533,36.296487""","37912293"
"1754544165","""49.991928,36.257412""","37915895"
"1754543317","""49.947952,36.383442""","37905135"
"1754543844","""49.974632,36.296587""","37912338"
"1754544059","""49.989685,36.265810""","37915124"
"1754544347","""49.992275,36.255338""","37916054"
"1754543656","""49.964165,36.331590""","37909522"
"1754543428","""49.952205,36.376938""","37905994"
"1754544126","""49.991213,36.260832""","37915550"
"1754544388","""49.993402,36.255798""","37916187"
"1754543630","""49.962903,36.338417""","37909014"
"1754544363","""49.992817,36.255543""","37916117"
"1754544333","""49.991995,36.256770""","37915949"
"1754543337","""49.949093,36.384493""","37905288"
"1754543835","""49.974522,36.296503""","37912293"
"1754543820.011","""49.974533,36.296487""","null"
"1754543702","""49.965525,36.324792""","37910031"
"1754544042","""49.988552,36.267978""","37914924"
"1754544400","""49.993670,36.255420""","37916246"
"1754543450","""49.953605,36.372485""","37906348"
"1754543332","""49.948837,36.384242""","37905255"
"1754544320","""49.991907,36.257060""","37915923"
"1754543615","""49.962065,36.342945""","37908677"
"1754544174","""49.991852,36.257030""","37915923"
"1754543963","""49.983460,36.277912""","37914008"
"1754544030","""49.987485,36.270527""","37914706"
"1754543814","""49.974333,36.296957""","37912253"
"1754543396","""49.951828,36.378205""","37905894"
"1754544008","""49.985220,36.275040""","37914294"
"1754543995","""49.984642,36.275947""","37914203"
"1754544096","""49.990812,36.263728""","37915320"
"1754544057","""49.989593,36.265992""","37915108"
"1754543798","""49.973115,36.300020""","37911995"
"1754543898","""49.978653,36.287007""","37913164"
"1754543228","""49.945790,36.392493""","37904342"
"1754543730","""49.967055,36.319228""","37910464"
"1754543314","""49.947787,36.383593""","37905116"
"1754543431","""49.952345,36.376487""","37906030"
"1754543860","""49.975325,36.294460""","37912515"
"1754543485","""49.955743,36.365722""","37906887"
"1754543584","""49.960552,36.350900""","37908084"
"1754544118","""49.990902,36.261323""","37915495"
"1754517892","""49.946588,36.392490""","37904255"
"1754543709","""49.965912,36.323347""","37910143"
"1754544012","""49.985580,36.274448""","37914353"
"1754543345","""49.949328,36.384698""","37905317"
"1754543536","""49.956953,36.361865""","37907196"
"1754544024","""49.986968,36.271942""","37914590"
"1754543248","""49.945008,36.391712""","37904457"
"1754543933","""49.982298,36.279743""","37913826"
"1754544167","""49.991892,36.257330""","37915902"
"1754543365","""49.949753,36.384730""","37905374"
"1754543744","""49.968232,36.315317""","37910773"
"1754544393","""49.993552,36.255873""","37916205"
"1754544402","""49.993595,36.255260""","37916260"
"1754543753","""49.969223,36.312412""","37911008"
"1754543364","""49.949717,36.384810""","37905366"
"1754543483","""49.955712,36.365805""","37906881"
"1754543965","""49.983508,36.277805""","37914020"
"1754521492","""49.946588,36.392490""","37904255"
"1754544411","""49.993253,36.254925""","37916306"
"1754543596","""49.961190,36.347583""","37908331"
"1754544418","""49.993047,36.254882""","37916330"
"1754543739","""49.967755,36.316833""","37910653"
"1754543782","""49.971975,36.303358""","37911725"
"1754544151","""49.992588,36.258523""","37915787"
"1754543635","""49.963193,36.336903""","37909127"
"1754544520","""49.993010,36.254942""","37916330"
"1754544375","""49.992927,36.255583""","37916131"
"1754543366","""49.949788,36.384620""","37905382"
"1754544177","""49.991872,36.257038""","37915923"
"1754543474","""49.955365,36.366878""","37906795"
"1754543748","""49.968765,36.313780""","37910898"
"1754543403","""49.952013,36.377582""","37905943"
"1754544394","""49.993583,36.255853""","37916209"
"1754543981","""49.984312,36.276457""","37914151"
"1754543251","""49.945128,36.391520""","37904476"
"1754544047","""49.988972,36.267163""","37914999"
"1754543772","""49.971008,36.306562""","37911472"
"1754544079","""49.989893,36.265433""","37915160"
"1754543969","""49.983672,36.277532""","37914046"
